scenario_id,entity_type,entity_name,system,file_precision,file_recall,file_f1,requirement_precision,requirement_recall,requirement_f1,policy_precision,policy_recall,policy_f1,file_tp,file_fp,file_fn,req_tp,req_fp,req_fn,pol_tp,pol_fp,pol_fn,risk_pred,risk_oracle,risk_abs_error,latency_ms,oracle_file_count,pred_file_count
TBL-account,table,account,vanilla,1.0,0.2727272727272727,0.42857142857142855,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,3,0,8,2,0,4,1,0,2,38,99,61,3.566900035366416,11,3
TBL-account,table,account,mcp_uce,1.0,0.2727272727272727,0.42857142857142855,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,3,0,8,2,0,4,1,0,2,38,99,61,25.755800073966384,11,3
TBL-agents,table,agents,vanilla,1.0,0.7272727272727273,0.8421052631578948,1.0,0.2,0.33333333333333337,1.0,0.5,0.6666666666666666,8,0,3,1,0,4,1,0,1,62,92,30,2.9546000296249986,11,8
TBL-agents,table,agents,mcp_uce,1.0,0.7272727272727273,0.8421052631578948,1.0,0.2,0.33333333333333337,1.0,0.5,0.6666666666666666,8,0,3,1,0,4,1,0,1,62,92,30,18.081799964420497,11,8
TBL-meetings,table,meetings,vanilla,1.0,0.6923076923076923,0.8181818181818181,1.0,0.5714285714285714,0.7272727272727273,1.0,1.0,1.0,9,0,4,4,0,3,3,0,0,82,109,27,2.8433999978005886,13,9
TBL-meetings,table,meetings,mcp_uce,1.0,0.6923076923076923,0.8181818181818181,1.0,0.7142857142857143,0.8333333333333333,1.0,1.0,1.0,9,0,4,5,0,2,3,0,0,86,109,23,19.794599968008697,13,9
TBL-session,table,session,vanilla,1.0,0.36363636363636365,0.5333333333333333,1.0,0.16666666666666666,0.2857142857142857,1.0,0.3333333333333333,0.5,4,0,7,1,0,5,1,0,2,33,99,66,3.958499990403652,11,4
TBL-session,table,session,mcp_uce,1.0,0.36363636363636365,0.5333333333333333,1.0,0.16666666666666666,0.2857142857142857,1.0,0.3333333333333333,0.5,4,0,7,1,0,5,1,0,2,33,99,66,25.2942000515759,11,4
TBL-user,table,user,vanilla,1.0,0.6363636363636364,0.7777777777777778,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.8,7,0,4,2,0,4,2,0,1,67,99,32,2.9662000015378,11,7
TBL-user,table,user,mcp_uce,1.0,0.6363636363636364,0.7777777777777778,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.8,7,0,4,2,0,4,2,0,1,67,99,32,17.270399956032634,11,7
