scenario_id,entity_type,entity_name,system,oracle_file_count,oracle_req_count,oracle_pol_count,file_tp,file_fp,file_fn,file_precision,file_recall,file_f1,req_tp,req_fp,req_fn,req_precision,req_recall,req_f1,pol_tp,pol_fp,pol_fn,pol_precision,pol_recall,pol_f1,req_caught_any,latency_ms
TBL-account,table,account,uce,0,10,4,0,3,0,0.0,1.0,0.0,2,0,8,1.0,0.2,0.33333333333333337,1,0,3,1.0,0.25,0.4,1,85.28510000178358
TBL-account,table,account,naive_edit,0,10,4,0,1,0,0.0,1.0,0.0,0,0,10,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0.0008999995770864189
TBL-account,table,account,lexical,0,10,4,0,3,0,0.0,1.0,0.0,2,0,8,1.0,0.2,0.33333333333333337,1,0,3,1.0,0.25,0.4,1,0.3612000000430271
COL-account-access_token,column,account.access_token,uce,0,1,0,0,13,0,0.0,1.0,0.0,1,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,1,18.224200000986457
COL-account-access_token,column,account.access_token,naive_edit,0,1,0,0,1,0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0,0.0012999989849049598
COL-account-access_token,column,account.access_token,lexical,0,1,0,0,3,0,0.0,1.0,0.0,1,3,0,0.25,1.0,0.4,0,2,0,0.0,1.0,0.0,1,0.5418000000645407
COL-account-access_token_expires_at,column,account.access_token_expires_at,uce,0,0,0,0,13,0,0.0,1.0,0.0,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,12.656500002776738
COL-account-access_token_expires_at,column,account.access_token_expires_at,naive_edit,0,0,0,0,1,0,0.0,1.0,0.0,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,0.000700001692166552
COL-account-access_token_expires_at,column,account.access_token_expires_at,lexical,0,0,0,0,5,0,0.0,1.0,0.0,0,4,0,0.0,1.0,0.0,0,2,0,0.0,1.0,0.0,-1,0.3804000007221475
TBL-agents,table,agents,uce,11,10,4,6,1,5,0.8571428571428571,0.5454545454545454,0.6666666666666665,1,0,9,1.0,0.1,0.18181818181818182,1,0,3,1.0,0.25,0.4,1,17.50000000174623
TBL-agents,table,agents,naive_edit,11,10,4,0,1,11,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0.0012999989849049598
TBL-agents,table,agents,lexical,11,10,4,7,1,4,0.875,0.6363636363636364,0.7368421052631579,1,0,9,1.0,0.1,0.18181818181818182,1,0,3,1.0,0.25,0.4,1,0.3775999975914601
COL-agents-created_at,column,agents.created_at,uce,0,1,1,0,13,0,0.0,1.0,0.0,1,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0,1,16.138900002260925
COL-agents-created_at,column,agents.created_at,naive_edit,0,1,1,0,1,0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0.0007999988156370819
COL-agents-created_at,column,agents.created_at,lexical,0,1,1,0,5,0,0.0,1.0,0.0,1,3,0,0.25,1.0,0.4,1,2,0,0.3333333333333333,1.0,0.5,1,0.3361999988555908
COL-agents-id,column,agents.id,uce,11,10,4,11,3,0,0.7857142857142857,1.0,0.88,0,0,10,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,12.049199998728
COL-agents-id,column,agents.id,naive_edit,11,10,4,0,1,11,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0.000800002453615889
COL-agents-id,column,agents.id,lexical,11,10,4,8,2,3,0.8,0.7272727272727273,0.761904761904762,3,0,7,1.0,0.3,0.4615384615384615,2,0,2,1.0,0.5,0.6666666666666666,1,0.27739999859477393
TBL-meetings,table,meetings,uce,11,10,4,6,1,5,0.8571428571428571,0.5454545454545454,0.6666666666666665,5,0,5,1.0,0.5,0.6666666666666666,3,0,1,1.0,0.75,0.8571428571428571,1,26.26109999982873
TBL-meetings,table,meetings,naive_edit,11,10,4,0,1,11,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0.0007999988156370819
TBL-meetings,table,meetings,lexical,11,10,4,8,1,3,0.8888888888888888,0.7272727272727273,0.7999999999999999,4,0,6,1.0,0.4,0.5714285714285715,2,0,2,1.0,0.5,0.6666666666666666,1,0.2494000000297092
COL-meetings-agent_id,column,meetings.agent_id,uce,7,1,1,7,6,0,0.5384615384615384,1.0,0.7000000000000001,1,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0,1,15.73859999916749
COL-meetings-agent_id,column,meetings.agent_id,naive_edit,7,1,1,0,1,7,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0.0007999988156370819
COL-meetings-agent_id,column,meetings.agent_id,lexical,7,1,1,2,5,5,0.2857142857142857,0.2857142857142857,0.2857142857142857,1,3,0,0.25,1.0,0.4,1,2,0,0.3333333333333333,1.0,0.5,1,0.3283000005467329
COL-meetings-created_at,column,meetings.created_at,uce,0,1,1,0,13,0,0.0,1.0,0.0,1,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0,1,18.41690000219387
COL-meetings-created_at,column,meetings.created_at,naive_edit,0,1,1,0,1,0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0.0012999989849049598
COL-meetings-created_at,column,meetings.created_at,lexical,0,1,1,0,5,0,0.0,1.0,0.0,1,3,0,0.25,1.0,0.4,1,2,0,0.3333333333333333,1.0,0.5,1,0.5546000029426068
TBL-session,table,session,uce,0,10,4,0,3,0,0.0,1.0,0.0,1,0,9,1.0,0.1,0.18181818181818182,1,0,3,1.0,0.25,0.4,1,21.820399997523054
TBL-session,table,session,naive_edit,0,10,4,0,1,0,0.0,1.0,0.0,0,0,10,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0.0021999985619913787
TBL-session,table,session,lexical,0,10,4,0,4,0,0.0,1.0,0.0,1,0,9,1.0,0.1,0.18181818181818182,1,0,3,1.0,0.25,0.4,1,0.4117999997106381
COL-session-created_at,column,session.created_at,uce,0,1,1,0,13,0,0.0,1.0,0.0,1,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0,1,19.384100000024773
COL-session-created_at,column,session.created_at,naive_edit,0,1,1,0,1,0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0.000800002453615889
COL-session-created_at,column,session.created_at,lexical,0,1,1,0,5,0,0.0,1.0,0.0,1,3,0,0.25,1.0,0.4,1,2,0,0.3333333333333333,1.0,0.5,1,0.32020000071497634
COL-session-expires_at,column,session.expires_at,uce,0,2,1,0,13,0,0.0,1.0,0.0,2,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0,1,26.390300001366995
COL-session-expires_at,column,session.expires_at,naive_edit,0,2,1,0,1,0,0.0,1.0,0.0,0,0,2,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0.0011000010999850929
COL-session-expires_at,column,session.expires_at,lexical,0,2,1,0,5,0,0.0,1.0,0.0,2,2,0,0.5,1.0,0.6666666666666666,1,2,0,0.3333333333333333,1.0,0.5,1,0.46099999963189475
TBL-user,table,user,uce,7,10,4,2,5,5,0.2857142857142857,0.2857142857142857,0.2857142857142857,2,0,8,1.0,0.2,0.33333333333333337,2,0,2,1.0,0.5,0.6666666666666666,1,24.377300000196556
TBL-user,table,user,naive_edit,7,10,4,0,1,7,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0.000800002453615889
TBL-user,table,user,lexical,7,10,4,2,5,5,0.2857142857142857,0.2857142857142857,0.2857142857142857,2,0,8,1.0,0.2,0.33333333333333337,2,0,2,1.0,0.5,0.6666666666666666,1,0.24119999943650328
COL-user-created_at,column,user.created_at,uce,0,1,1,0,13,0,0.0,1.0,0.0,1,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0,1,16.976300001260825
COL-user-created_at,column,user.created_at,naive_edit,0,1,1,0,1,0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0.0007999988156370819
COL-user-created_at,column,user.created_at,lexical,0,1,1,0,5,0,0.0,1.0,0.0,1,3,0,0.25,1.0,0.4,1,2,0,0.3333333333333333,1.0,0.5,1,0.3313000015623402
COL-user-email,column,user.email,uce,0,1,1,0,13,0,0.0,1.0,0.0,1,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0,1,17.68199999787612
COL-user-email,column,user.email,naive_edit,0,1,1,0,1,0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0.0007999988156370819
COL-user-email,column,user.email,lexical,0,1,1,0,5,0,0.0,1.0,0.0,1,1,0,0.5,1.0,0.6666666666666666,1,1,0,0.5,1.0,0.6666666666666666,1,0.2727999999478925
TBL-verification,table,verification,uce,0,10,4,0,1,0,0.0,1.0,0.0,1,0,9,1.0,0.1,0.18181818181818182,0,0,4,0.0,0.0,0.0,1,17.123500001616776
TBL-verification,table,verification,naive_edit,0,10,4,0,1,0,0.0,1.0,0.0,0,0,10,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0.0008999995770864189
TBL-verification,table,verification,lexical,0,10,4,0,1,0,0.0,1.0,0.0,1,0,9,1.0,0.1,0.18181818181818182,0,0,4,0.0,0.0,0.0,1,0.22589999935007654
COL-verification-created_at,column,verification.created_at,uce,0,1,1,0,13,0,0.0,1.0,0.0,1,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0,1,16.16669999930309
COL-verification-created_at,column,verification.created_at,naive_edit,0,1,1,0,1,0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0.0006999980541877449
COL-verification-created_at,column,verification.created_at,lexical,0,1,1,0,5,0,0.0,1.0,0.0,1,3,0,0.25,1.0,0.4,1,2,0,0.3333333333333333,1.0,0.5,1,0.31859999944572337
COL-verification-expires_at,column,verification.expires_at,uce,0,2,1,0,13,0,0.0,1.0,0.0,2,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0,1,20.8461999973224
COL-verification-expires_at,column,verification.expires_at,naive_edit,0,2,1,0,1,0,0.0,1.0,0.0,0,0,2,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0.0007999988156370819
COL-verification-expires_at,column,verification.expires_at,lexical,0,2,1,0,5,0,0.0,1.0,0.0,2,2,0,0.5,1.0,0.6666666666666666,1,2,0,0.3333333333333333,1.0,0.5,1,0.31799999851500615
FIL-src_db_index.ts,file,src/db/index.ts,uce,13,0,0,13,16,0,0.4482758620689655,1.0,0.6190476190476191,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,12.997099998756312
FIL-src_db_index.ts,file,src/db/index.ts,naive_edit,13,0,0,1,0,12,1.0,0.07692307692307693,0.14285714285714288,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,0.0017000020307023078
FIL-src_db_index.ts,file,src/db/index.ts,lexical,13,0,0,1,0,12,1.0,0.07692307692307693,0.14285714285714288,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,0.2934000003733672
FIL-src_db_schema.ts,file,src/db/schema.ts,uce,13,0,0,13,16,0,0.4482758620689655,1.0,0.6190476190476191,0,10,0,0.0,1.0,0.0,0,4,0,0.0,1.0,0.0,-1,13.340500001504552
FIL-src_db_schema.ts,file,src/db/schema.ts,naive_edit,13,0,0,1,0,12,1.0,0.07692307692307693,0.14285714285714288,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,0.0013999997463542968
FIL-src_db_schema.ts,file,src/db/schema.ts,lexical,13,0,0,6,0,7,1.0,0.46153846153846156,0.631578947368421,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,0.2592999990156386
FIL-src_trpc_server.tsx,file,src/trpc/server.tsx,uce,1,0,0,1,7,0,0.125,1.0,0.2222222222222222,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,10.56590000007418
FIL-src_trpc_server.tsx,file,src/trpc/server.tsx,naive_edit,1,0,0,1,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,0.0007999988156370819
FIL-src_trpc_server.tsx,file,src/trpc/server.tsx,lexical,1,0,0,0,1,1,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,0.25129999994533136
FIL-src_trpc_init.ts,file,src/trpc/init.ts,uce,10,0,0,10,12,0,0.45454545454545453,1.0,0.625,0,8,0,0.0,1.0,0.0,0,4,0,0.0,1.0,0.0,-1,10.39870000022347
FIL-src_trpc_init.ts,file,src/trpc/init.ts,naive_edit,10,0,0,1,0,9,1.0,0.1,0.18181818181818182,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,0.0008999995770864189
FIL-src_trpc_init.ts,file,src/trpc/init.ts,lexical,10,0,0,8,0,2,1.0,0.8,0.888888888888889,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,0.2612000025692396
FIL-src_trpc_routers__app.ts,file,src/trpc/routers/_app.ts,uce,7,0,0,7,12,0,0.3684210526315789,1.0,0.5384615384615384,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,12.77999999729218
FIL-src_trpc_routers__app.ts,file,src/trpc/routers/_app.ts,naive_edit,7,0,0,1,0,6,1.0,0.14285714285714285,0.25,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,0.000900003215065226
FIL-src_trpc_routers__app.ts,file,src/trpc/routers/_app.ts,lexical,7,0,0,4,0,3,1.0,0.5714285714285714,0.7272727272727273,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,0.2503000032447744
FIL-src_inngest_client.ts,file,src/inngest/client.ts,uce,4,0,0,4,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,10.205700000369688
FIL-src_inngest_client.ts,file,src/inngest/client.ts,naive_edit,4,0,0,1,0,3,1.0,0.25,0.4,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,0.0007999988156370819
FIL-src_inngest_client.ts,file,src/inngest/client.ts,lexical,4,0,0,1,3,3,0.25,0.25,0.25,0,0,0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,-1,0.2635000018926803
